pk,user_id,product_id,rating,content,content,,pk,content
1,1,1,9,Fruity and not too sweet,19,,1,"Pleasant surprise! Well balanced. Nose was medium plus, green bell pepper was there but not too much, cream, apricot. Dry, medium plus acidity. Palate had a bit of vanilla, passion fruit, apricot."
2,2,1,6,Little bit sweet:(,17,,2,"Pear!!! Fig, Floral, refreshing"
3,3,1,4,sweet. Good light drink.,6,,3,"Grapefruit, starfruit, green melon, stone minerality, strong but balanced acidity. Refreshing and delicious!"
4,4,1,8,A little too sweet but very pleasant and light,12,,4,Reputable producer making a solid Sauvignon blanc greeted with citrus on the palate opening up to a pear melon easy finish
5,5,1,4,I just don't like sweet vine but this wine is good with desserts,26,,5,Nice sweet taste. A white wine with small bubbles on my tongue. It is a fun wine that could be good with dinner or just for the fun of it.
6,6,1,7,honey peach tropical bread yeast Too sweet for me,31,,6,sweet. Good light drink.
7,7,1,2,too sweet for me but decent one:),32,,7,peach green apple sweety
8,8,1,2,"Bit fizzier then I usually look for, but Devine nonetheless. ",21,,8,"lovely sweet wine! honey, peach with hints of green apple. perfectly pairs with Emmental cheese."
9,1,2,10,I really like this wine it’s extremely light great with apples and pears. I was skeptical when I poured my glass and it fizzed like a moscato. Witch I’m not found of.,15,,9,too sweet for me but decent one:)
10,2,2,9,Fruity and not too sweet,19,,10,Fruity & good vakue
11,3,2,10,"Good for me, Not for my wife",27,,11,unexpectedly sweet and soft
12,4,2,5,"very sweet, so only good at the first drink",23,,12,A little too sweet but very pleasant and light
13,5,2,5,Trash,28,,13,"Very sweet, a little spakling for some reason. Easy drink"
14,6,2,10,unexpectedly sweet and soft,11,,14,I really enjoy all oh Villa M’s wines that I’ve tried so far! This moscato was sweet and smooth. Very refreshing. 
15,7,2,1,I really enjoy all oh Villa M’s wines that I’ve tried so far! This moscato was sweet and smooth. Very refreshing. ,14,,15,I really like this wine it’s extremely light great with apples and pears. I was skeptical when I poured my glass and it fizzed like a moscato. Witch I’m not found of.
16,8,2,8,unexpectedly sweet and soft,11,,16,Sweet apple flavored and a little sparkling wine. This is the best choice at the beginning of the meal to appetite.
17,1,3,6,A liittle too sweet,29,,17,Little bit sweet:(
18,2,3,3,sparkling!,30,,18,Very smooth and syrupy. Fruity and juicy as well. Perfect for netflix and chill kinda night
19,3,3,5,Reputable producer making a solid Sauvignon blanc greeted with citrus on the palate opening up to a pear melon easy finish,4,,19,Fruity and not too sweet
20,4,3,10,light body/ fruity,22,,20,Sweet taste with a great finish
21,5,3,7,Fruity & good vakue,10,,21,"Bit fizzier then I usually look for, but Devine nonetheless. "
22,6,3,4,"very sweet, so only good at the first drink",23,,22,light body/ fruity
23,7,3,7,Very smooth and syrupy. Fruity and juicy as well. Perfect for netflix and chill kinda night,18,,23,"very sweet, so only good at the first drink"
24,8,3,2,light body/ fruity,22,,24,"Very sweet, bordering dessert wine"
25,1,4,9,light body/ fruity,22,,25,Frizzante. Very floral. White flowers and very peachy. Not my style but pleasant.
26,2,4,9,Little bit sweet:(,17,,26,I just don't like sweet vine but this wine is good with desserts
27,3,4,10,"lovely sweet wine! honey, peach with hints of green apple. perfectly pairs with Emmental cheese.",8,,27,"Good for me, Not for my wife"
28,4,4,7,sweet. Good light drink.,6,,28,Trash
29,5,4,7,I just don't like sweet vine but this wine is good with desserts,26,,29,A liittle too sweet
30,6,4,1,"Pear!!! Fig, Floral, refreshing",2,,30,sparkling!
31,7,4,6,A liittle too sweet,29,,31,honey peach tropical bread yeast Too sweet for me
32,8,4,6,"Pear!!! Fig, Floral, refreshing",2,,32,too sweet for me but decent one:)
33,1,5,4,too sweet for me but decent one:),32,,,
34,2,5,2,too sweet for me but decent one:),9,,,
35,3,5,3,Fruity and not too sweet,19,,,
36,4,5,6,sparkling!,30,,,
37,5,5,2,peach green apple sweety,7,,,
38,6,5,6,honey peach tropical bread yeast Too sweet for me,31,,,
39,7,5,5,I really enjoy all oh Villa M’s wines that I’ve tried so far! This moscato was sweet and smooth. Very refreshing. ,14,,,
40,8,5,8,"Pear!!! Fig, Floral, refreshing",2,,,
41,1,6,10,"Grapefruit, starfruit, green melon, stone minerality, strong but balanced acidity. Refreshing and delicious!",3,,,
42,2,6,5,"Very sweet, bordering dessert wine",24,,,
43,3,6,3,"Good for me, Not for my wife",27,,,
44,4,6,1,"Good for me, Not for my wife",27,,,
45,5,6,1,Fruity & good vakue,10,,,
46,6,6,9,Fruity and not too sweet,19,,,
47,7,6,3,Sweet apple flavored and a little sparkling wine. This is the best choice at the beginning of the meal to appetite.,16,,,
48,8,6,8,Sweet taste with a great finish,20,,,
49,1,7,4,Nice sweet taste. A white wine with small bubbles on my tongue. It is a fun wine that could be good with dinner or just for the fun of it.,5,,,
50,2,7,3,Little bit sweet:(,17,,,
51,3,7,4,"Very sweet, a little spakling for some reason. Easy drink",13,,,
52,4,7,3,unexpectedly sweet and soft,11,,,
53,5,7,6,Nice sweet taste. A white wine with small bubbles on my tongue. It is a fun wine that could be good with dinner or just for the fun of it.,5,,,
54,6,7,8,A liittle too sweet,29,,,
55,7,7,9,"Very sweet, bordering dessert wine",24,,,
56,8,7,5,"Grapefruit, starfruit, green melon, stone minerality, strong but balanced acidity. Refreshing and delicious!",3,,,
57,1,8,7,A liittle too sweet,29,,,
58,2,8,7,Sweet apple flavored and a little sparkling wine. This is the best choice at the beginning of the meal to appetite.,16,,,
59,3,8,1,Trash,28,,,
60,4,8,4,I really enjoy all oh Villa M’s wines that I’ve tried so far! This moscato was sweet and smooth. Very refreshing. ,14,,,
61,5,8,1,Sweet apple flavored and a little sparkling wine. This is the best choice at the beginning of the meal to appetite.,16,,,
62,6,8,6,peach green apple sweety,7,,,
63,7,8,4,"Grapefruit, starfruit, green melon, stone minerality, strong but balanced acidity. Refreshing and delicious!",3,,,
64,8,8,7,too sweet for me but decent one:),32,,,
65,1,9,9,A little too sweet but very pleasant and light,12,,,
66,2,9,7,light body/ fruity,22,,,
67,3,9,2,peach green apple sweety,7,,,
68,4,9,8,sparkling!,30,,,
69,5,9,8,sweet. Good light drink.,6,,,
70,6,9,9,Frizzante. Very floral. White flowers and very peachy. Not my style but pleasant.,25,,,
71,7,9,2,Trash,28,,,
72,8,9,3,A liittle too sweet,29,,,
73,1,10,10,"Very sweet, a little spakling for some reason. Easy drink",13,,,
74,2,10,1,Little bit sweet:(,17,,,
75,3,10,6,Trash,28,,,
76,4,10,5,unexpectedly sweet and soft,11,,,
77,5,10,8,"lovely sweet wine! honey, peach with hints of green apple. perfectly pairs with Emmental cheese.",8,,,
78,6,10,2,Nice sweet taste. A white wine with small bubbles on my tongue. It is a fun wine that could be good with dinner or just for the fun of it.,5,,,
79,7,10,1,honey peach tropical bread yeast Too sweet for me,31,,,
80,8,10,1,I really enjoy all oh Villa M’s wines that I’ve tried so far! This moscato was sweet and smooth. Very refreshing. ,14,,,
81,1,11,6,too sweet for me but decent one:),9,,,
82,2,11,7,Sweet taste with a great finish,20,,,
83,3,11,7,"Pear!!! Fig, Floral, refreshing",2,,,
84,4,11,8,Nice sweet taste. A white wine with small bubbles on my tongue. It is a fun wine that could be good with dinner or just for the fun of it.,5,,,
85,5,11,5,Sweet taste with a great finish,20,,,
86,6,11,5,"lovely sweet wine! honey, peach with hints of green apple. perfectly pairs with Emmental cheese.",8,,,
87,7,11,6,Fruity and not too sweet,19,,,
88,8,11,3,"lovely sweet wine! honey, peach with hints of green apple. perfectly pairs with Emmental cheese.",8,,,
89,1,12,4,sweet. Good light drink.,6,,,
90,2,12,7,I really enjoy all oh Villa M’s wines that I’ve tried so far! This moscato was sweet and smooth. Very refreshing. ,14,,,
91,3,12,6,Nice sweet taste. A white wine with small bubbles on my tongue. It is a fun wine that could be good with dinner or just for the fun of it.,5,,,
92,4,12,1,sweet. Good light drink.,6,,,
93,5,12,8,too sweet for me but decent one:),32,,,
94,6,12,9,light body/ fruity,22,,,
95,7,12,9,"lovely sweet wine! honey, peach with hints of green apple. perfectly pairs with Emmental cheese.",8,,,
96,8,12,1,Nice sweet taste. A white wine with small bubbles on my tongue. It is a fun wine that could be good with dinner or just for the fun of it.,5,,,
97,1,13,1,too sweet for me but decent one:),32,,,
98,2,13,8,unexpectedly sweet and soft,11,,,
99,3,13,7,A little too sweet but very pleasant and light,12,,,
100,4,13,9,light body/ fruity,22,,,
101,5,13,7,"lovely sweet wine! honey, peach with hints of green apple. perfectly pairs with Emmental cheese.",8,,,
102,6,13,5,Sweet apple flavored and a little sparkling wine. This is the best choice at the beginning of the meal to appetite.,16,,,
103,7,13,1,Trash,28,,,
104,8,13,1,"Very sweet, a little spakling for some reason. Easy drink",13,,,
105,1,14,7,too sweet for me but decent one:),9,,,
106,2,14,7,unexpectedly sweet and soft,11,,,
107,3,14,10,Fruity & good vakue,10,,,
108,4,14,1,Trash,28,,,
109,5,14,7,"Pleasant surprise! Well balanced. Nose was medium plus, green bell pepper was there but not too much, cream, apricot. Dry, medium plus acidity. Palate had a bit of vanilla, passion fruit, apricot.",1,,,
110,6,14,6,peach green apple sweety,7,,,
111,7,14,5,"very sweet, so only good at the first drink",23,,,
112,8,14,9,"lovely sweet wine! honey, peach with hints of green apple. perfectly pairs with Emmental cheese.",8,,,
113,1,15,8,light body/ fruity,22,,,
114,2,15,10,A little too sweet but very pleasant and light,12,,,
115,3,15,3,"Bit fizzier then I usually look for, but Devine nonetheless. ",21,,,
116,4,15,9,A little too sweet but very pleasant and light,12,,,
117,5,15,5,Trash,28,,,
118,6,15,10,"lovely sweet wine! honey, peach with hints of green apple. perfectly pairs with Emmental cheese.",8,,,
119,7,15,8,Fruity & good vakue,10,,,
120,8,15,6,"Pleasant surprise! Well balanced. Nose was medium plus, green bell pepper was there but not too much, cream, apricot. Dry, medium plus acidity. Palate had a bit of vanilla, passion fruit, apricot.",1,,,
121,1,16,5,unexpectedly sweet and soft,11,,,
122,2,16,5,too sweet for me but decent one:),32,,,
123,3,16,10,I really like this wine it’s extremely light great with apples and pears. I was skeptical when I poured my glass and it fizzed like a moscato. Witch I’m not found of.,15,,,
124,4,16,9,Trash,28,,,
125,5,16,4,"Very sweet, bordering dessert wine",24,,,
126,6,16,2,Reputable producer making a solid Sauvignon blanc greeted with citrus on the palate opening up to a pear melon easy finish,4,,,
127,7,16,7,unexpectedly sweet and soft,11,,,
128,8,16,7,Reputable producer making a solid Sauvignon blanc greeted with citrus on the palate opening up to a pear melon easy finish,4,,,
129,1,17,10,Very smooth and syrupy. Fruity and juicy as well. Perfect for netflix and chill kinda night,18,,,
130,2,17,4,I really enjoy all oh Villa M’s wines that I’ve tried so far! This moscato was sweet and smooth. Very refreshing. ,14,,,
131,3,17,1,honey peach tropical bread yeast Too sweet for me,31,,,
132,4,17,4,Fruity & good vakue,10,,,
133,5,17,8,I just don't like sweet vine but this wine is good with desserts,26,,,
134,6,17,5,Reputable producer making a solid Sauvignon blanc greeted with citrus on the palate opening up to a pear melon easy finish,4,,,
135,7,17,5,Trash,28,,,
136,8,17,9,Trash,28,,,
137,1,18,7,"Pleasant surprise! Well balanced. Nose was medium plus, green bell pepper was there but not too much, cream, apricot. Dry, medium plus acidity. Palate had a bit of vanilla, passion fruit, apricot.",1,,,
138,2,18,5,"Pear!!! Fig, Floral, refreshing",2,,,
139,3,18,6,sparkling!,30,,,
140,4,18,2,"Very sweet, a little spakling for some reason. Easy drink",13,,,
141,5,18,2,sweet. Good light drink.,6,,,
142,6,18,8,"Pleasant surprise! Well balanced. Nose was medium plus, green bell pepper was there but not too much, cream, apricot. Dry, medium plus acidity. Palate had a bit of vanilla, passion fruit, apricot.",1,,,
143,7,18,9,Reputable producer making a solid Sauvignon blanc greeted with citrus on the palate opening up to a pear melon easy finish,4,,,
144,8,18,3,A little too sweet but very pleasant and light,12,,,
145,1,19,9,A liittle too sweet,29,,,
146,2,19,5,sparkling!,30,,,
147,3,19,6,Trash,28,,,
148,4,19,6,Little bit sweet:(,17,,,
149,5,19,7,too sweet for me but decent one:),9,,,
150,6,19,3,too sweet for me but decent one:),32,,,
151,7,19,7,"Bit fizzier then I usually look for, but Devine nonetheless. ",21,,,
152,8,19,7,Fruity and not too sweet,19,,,
153,1,20,7,sparkling!,30,,,
154,2,20,3,"Very sweet, bordering dessert wine",24,,,
155,3,20,2,I really enjoy all oh Villa M’s wines that I’ve tried so far! This moscato was sweet and smooth. Very refreshing. ,14,,,
156,4,20,3,A liittle too sweet,29,,,
157,5,20,4,too sweet for me but decent one:),32,,,
158,6,20,5,"lovely sweet wine! honey, peach with hints of green apple. perfectly pairs with Emmental cheese.",8,,,
159,7,20,6,"lovely sweet wine! honey, peach with hints of green apple. perfectly pairs with Emmental cheese.",8,,,
160,8,20,3,"very sweet, so only good at the first drink",23,,,
161,1,21,8,too sweet for me but decent one:),9,,,
162,2,21,2,"Good for me, Not for my wife",27,,,
163,3,21,6,sweet. Good light drink.,6,,,
164,4,21,2,sweet. Good light drink.,6,,,
165,5,21,2,I really like this wine it’s extremely light great with apples and pears. I was skeptical when I poured my glass and it fizzed like a moscato. Witch I’m not found of.,15,,,
166,6,21,5,I really like this wine it’s extremely light great with apples and pears. I was skeptical when I poured my glass and it fizzed like a moscato. Witch I’m not found of.,15,,,
167,7,21,7,sweet. Good light drink.,6,,,
168,8,21,10,light body/ fruity,22,,,
169,1,22,1,Very smooth and syrupy. Fruity and juicy as well. Perfect for netflix and chill kinda night,18,,,
170,2,22,9,Little bit sweet:(,17,,,
171,3,22,8,I really like this wine it’s extremely light great with apples and pears. I was skeptical when I poured my glass and it fizzed like a moscato. Witch I’m not found of.,15,,,
172,4,22,8,Fruity and not too sweet,19,,,
173,5,22,6,Sweet apple flavored and a little sparkling wine. This is the best choice at the beginning of the meal to appetite.,16,,,
174,6,22,7,light body/ fruity,22,,,
175,7,22,2,too sweet for me but decent one:),32,,,
176,8,22,7,Sweet taste with a great finish,20,,,
177,1,23,6,unexpectedly sweet and soft,11,,,
178,2,23,3,Fruity & good vakue,10,,,
179,3,23,6,Frizzante. Very floral. White flowers and very peachy. Not my style but pleasant.,25,,,
180,4,23,6,"Grapefruit, starfruit, green melon, stone minerality, strong but balanced acidity. Refreshing and delicious!",3,,,
181,5,23,6,honey peach tropical bread yeast Too sweet for me,31,,,
182,6,23,3,too sweet for me but decent one:),32,,,
183,7,23,4,Frizzante. Very floral. White flowers and very peachy. Not my style but pleasant.,25,,,
184,8,23,5,Sweet apple flavored and a little sparkling wine. This is the best choice at the beginning of the meal to appetite.,16,,,
185,1,24,5,unexpectedly sweet and soft,11,,,
186,2,24,8,Nice sweet taste. A white wine with small bubbles on my tongue. It is a fun wine that could be good with dinner or just for the fun of it.,5,,,
187,3,24,10,sparkling!,30,,,
188,4,24,6,A liittle too sweet,29,,,
189,5,24,6,"Very sweet, bordering dessert wine",24,,,
190,6,24,7,sweet. Good light drink.,6,,,
191,7,24,2,A liittle too sweet,29,,,
192,8,24,1,unexpectedly sweet and soft,11,,,
193,1,25,5,light body/ fruity,22,,,
194,2,25,7,light body/ fruity,22,,,
195,3,25,2,sparkling!,30,,,
196,4,25,3,"lovely sweet wine! honey, peach with hints of green apple. perfectly pairs with Emmental cheese.",8,,,
197,5,25,4,"Grapefruit, starfruit, green melon, stone minerality, strong but balanced acidity. Refreshing and delicious!",3,,,
198,6,25,8,"Pear!!! Fig, Floral, refreshing",2,,,
199,7,25,3,A little too sweet but very pleasant and light,12,,,
200,8,25,1,light body/ fruity,22,,,
201,1,26,2,sparkling!,30,,,
202,2,26,6,too sweet for me but decent one:),9,,,
203,3,26,10,"Grapefruit, starfruit, green melon, stone minerality, strong but balanced acidity. Refreshing and delicious!",3,,,
204,4,26,1,"Good for me, Not for my wife",27,,,
205,5,26,2,"Pleasant surprise! Well balanced. Nose was medium plus, green bell pepper was there but not too much, cream, apricot. Dry, medium plus acidity. Palate had a bit of vanilla, passion fruit, apricot.",1,,,
206,6,26,10,"Grapefruit, starfruit, green melon, stone minerality, strong but balanced acidity. Refreshing and delicious!",3,,,
207,7,26,1,honey peach tropical bread yeast Too sweet for me,31,,,
208,8,26,3,"Very sweet, bordering dessert wine",24,,,
209,1,27,7,"lovely sweet wine! honey, peach with hints of green apple. perfectly pairs with Emmental cheese.",8,,,
210,2,27,9,"Bit fizzier then I usually look for, but Devine nonetheless. ",21,,,
211,3,27,10,"Pear!!! Fig, Floral, refreshing",2,,,
212,4,27,1,Fruity & good vakue,10,,,
213,5,27,3,"Very sweet, a little spakling for some reason. Easy drink",13,,,
214,6,27,2,"Bit fizzier then I usually look for, but Devine nonetheless. ",21,,,
215,7,27,10,unexpectedly sweet and soft,11,,,
216,8,27,1,unexpectedly sweet and soft,11,,,
217,1,28,7,"Good for me, Not for my wife",27,,,
218,2,28,2,"lovely sweet wine! honey, peach with hints of green apple. perfectly pairs with Emmental cheese.",8,,,
219,3,28,8,"Very sweet, bordering dessert wine",24,,,
220,4,28,6,"very sweet, so only good at the first drink",23,,,
221,5,28,1,peach green apple sweety,7,,,
222,6,28,8,I really like this wine it’s extremely light great with apples and pears. I was skeptical when I poured my glass and it fizzed like a moscato. Witch I’m not found of.,15,,,
223,7,28,2,Sweet taste with a great finish,20,,,
224,8,28,5,"Very sweet, bordering dessert wine",24,,,
225,1,29,2,"Pear!!! Fig, Floral, refreshing",2,,,
226,2,29,2,"Grapefruit, starfruit, green melon, stone minerality, strong but balanced acidity. Refreshing and delicious!",3,,,
227,3,29,7,"lovely sweet wine! honey, peach with hints of green apple. perfectly pairs with Emmental cheese.",8,,,
228,4,29,1,Trash,28,,,
229,5,29,9,Reputable producer making a solid Sauvignon blanc greeted with citrus on the palate opening up to a pear melon easy finish,4,,,
230,6,29,2,sparkling!,30,,,
231,7,29,1,Very smooth and syrupy. Fruity and juicy as well. Perfect for netflix and chill kinda night,18,,,
232,8,29,1,Sweet apple flavored and a little sparkling wine. This is the best choice at the beginning of the meal to appetite.,16,,,
233,1,30,6,"Pleasant surprise! Well balanced. Nose was medium plus, green bell pepper was there but not too much, cream, apricot. Dry, medium plus acidity. Palate had a bit of vanilla, passion fruit, apricot.",1,,,
234,2,30,9,"Bit fizzier then I usually look for, but Devine nonetheless. ",21,,,
235,3,30,6,A liittle too sweet,29,,,
236,4,30,10,"Pleasant surprise! Well balanced. Nose was medium plus, green bell pepper was there but not too much, cream, apricot. Dry, medium plus acidity. Palate had a bit of vanilla, passion fruit, apricot.",1,,,
237,5,30,5,Reputable producer making a solid Sauvignon blanc greeted with citrus on the palate opening up to a pear melon easy finish,4,,,
238,6,30,6,Nice sweet taste. A white wine with small bubbles on my tongue. It is a fun wine that could be good with dinner or just for the fun of it.,5,,,
239,7,30,7,"Very sweet, a little spakling for some reason. Easy drink",13,,,
240,8,30,4,sparkling!,30,,,
241,1,31,10,"Very sweet, a little spakling for some reason. Easy drink",13,,,
242,2,31,4,Sweet apple flavored and a little sparkling wine. This is the best choice at the beginning of the meal to appetite.,16,,,
243,3,31,4,honey peach tropical bread yeast Too sweet for me,31,,,
244,4,31,5,honey peach tropical bread yeast Too sweet for me,31,,,
245,5,31,8,Trash,28,,,
246,6,31,3,Trash,28,,,
247,7,31,5,"Pleasant surprise! Well balanced. Nose was medium plus, green bell pepper was there but not too much, cream, apricot. Dry, medium plus acidity. Palate had a bit of vanilla, passion fruit, apricot.",1,,,
248,8,31,8,unexpectedly sweet and soft,11,,,
249,1,32,5,sparkling!,30,,,
250,2,32,10,too sweet for me but decent one:),9,,,
251,3,32,8,Frizzante. Very floral. White flowers and very peachy. Not my style but pleasant.,25,,,
252,4,32,1,Fruity & good vakue,10,,,
253,5,32,1,A liittle too sweet,29,,,
254,6,32,5,Sweet taste with a great finish,20,,,
255,7,32,2,light body/ fruity,22,,,
256,8,32,3,Frizzante. Very floral. White flowers and very peachy. Not my style but pleasant.,25,,,
257,1,33,5,too sweet for me but decent one:),32,,,
